date,alt,tree,id,bloom
2016-03-16,Prunus ‘Kanzan’,kanzan,50,Prebloom
2016-03-16,Prunus ‘Snow Goose’,prunus_snow_goose,147,Prebloom
2016-03-16,Prunus × sieboldii,sieboldii,161,Prebloom
2016-03-16,Prunus × sieboldii,sieboldii,160,Prebloom
2016-03-16,Prunus × subhirtella,subhirtella,159,Prebloom
2016-03-16,Prunus ‘Ukon’,ukon,158,Prebloom
2016-03-16,Prunus serrulata ‘Horinji’,horinji,157,Prebloom
2016-03-16,Prunus × yedoensis,yedoensis,156,Prebloom
2016-03-16,Prunus ‘Ariake’,ariake,154,Prebloom
2016-03-16,Prunus ‘Shirotae’,shirotae,153,Prebloom
2016-03-16,Prunus ‘Accolade’,accolade,152,Prebloom
2016-03-16,Prunus ‘Accolade’,accolade,151,Prebloom
2016-03-16,Prunus pendula ‘Pendula Rosea’,pendula,150,Prebloom
2016-03-16,Prunus pendula ‘Pendula Rosea’,pendula,149,Prebloom
2016-03-16,Prunus pendula ‘Pendula Rosea’,pendula,148,Prebloom
2016-03-16,Prunus ‘Shirotae’,shirotae,146,Prebloom
2016-03-16,Prunus ‘Shirotae’,shirotae,145,Prebloom
2016-03-16,Prunus × yedoensis,yedoensis,144,Prebloom
2016-03-16,Prunus pendula ‘Pendula Rosea’,pendula,143,Prebloom
2016-03-16,Prunus pendula ‘Pendula Rosea’,pendula,142,Prebloom
2016-03-16,Prunus × yedoensis,yedoensis,141,Prebloom
2016-03-16,Prunus ‘Shogetsu’,shogetsu,140,Prebloom
2016-03-16,Prunus ‘Kanzan’,kanzan,139,Prebloom
2016-03-16,Prunus × yedoensis,yedoensis,138,Prebloom
2016-03-16,Prunus ‘Shogetsu’,shogetsu,137,Prebloom
2016-03-16,Prunus pendula ‘Pendula Rosea’,pendula,135,Prebloom
2016-03-16,Prunus pendula ‘Pendula Rosea’,pendula,132,Prebloom
2016-03-16,NA,pendula,131,Prebloom
